Landtagswahl JJJJ; Wahldatum: JJJJ-MM-TT; Stand: 03.07.2023 13:15:10
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;SPD Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FDP Wahlkreisstimmen;AfD Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;NPD Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Graue Panther Wahlkreisstimmen;BüSo Wahlkreisstimmen;AD-Demokraten Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;BGE Wahlkreisstimmen;DIE VIOLETTEN Wahlkreisstimmen;LKR Wahlkreisstimmen;MENSCHLICHE WELT Wahlkreisstimmen;Die Humanisten Wahlkreisstimmen;Gesundheitsforschung Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;APPD (WK 13) Wahlkreisstimmen;DiB (WK 3) Wahlkreisstimmen;NEV (WK 44) Wahlkreisstimmen;ÖkoLinX He (WK 22) Wahlkreisstimmen;CDU Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);NPD Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Graue Panther Wahlkreisstimmen (%);BüSo Wahlkreisstimmen (%);AD-Demokraten Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);BGE Wahlkreisstimmen (%);DIE VIOLETTEN Wahlkreisstimmen (%);LKR Wahlkreisstimmen (%);MENSCHLICHE WELT Wahlkreisstimmen (%);Die Humanisten Wahlkreisstimmen (%);Gesundheitsforschung Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);APPD (WK 13) Wahlkreisstimmen (%);DiB (WK 3) Wahlkreisstimmen (%);NEV (WK 44) Wahlkreisstimmen (%);ÖkoLinX He (WK 22) Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;SPD Landesstimmen;GRÜNE Landesstimmen;DIE LINKE Landesstimmen;FDP Landesstimmen;AfD Landesstimmen;PIRATEN Landesstimmen;FREIE WÄHLER Landesstimmen;NPD Landesstimmen;Die PARTEI Landesstimmen;ÖDP Landesstimmen;Graue Panther Landesstimmen;BüSo Landesstimmen;AD-Demokraten Landesstimmen;Bündnis C Landesstimmen;BGE Landesstimmen;DIE VIOLETTEN Landesstimmen;LKR Landesstimmen;MENSCHLICHE WELT Landesstimmen;Die Humanisten Landesstimmen;Gesundheitsforschung Landesstimmen;Tierschutzpartei Landesstimmen;V-Partei³ Landesstimmen;APPD (WK 13) Landesstimmen;DiB (WK 3) Landesstimmen;NEV (WK 44) Landesstimmen;ÖkoLinX He (WK 22) Landesstimmen;CDU Landesstimmen (%);SPD Landesstimmen (%);GRÜNE Landesstimmen (%);DIE LINKE Landesstimmen (%);FDP Landesstimmen (%);AfD Landesstimmen (%);PIRATEN Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);NPD Landesstimmen (%);Die PARTEI Landesstimmen (%);ÖDP Landesstimmen (%);Graue Panther Landesstimmen (%);BüSo Landesstimmen (%);AD-Demokraten Landesstimmen (%);Bündnis C Landesstimmen (%);BGE Landesstimmen (%);DIE VIOLETTEN Landesstimmen (%);LKR Landesstimmen (%);MENSCHLICHE WELT Landesstimmen (%);Die Humanisten Landesstimmen (%);Gesundheitsforschung Landesstimmen (%);Tierschutzpartei Landesstimmen (%);V-Partei³ Landesstimmen (%);APPD (WK 13) Landesstimmen (%);DiB (WK 3) Landesstimmen (%);NEV (WK 44) Landesstimmen (%);ÖkoLinX He (WK 22) Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
05343700600;"Erbach, Kreisstadt";"SB";00011;"Günterfürst";597;533;64;0;267;0;;;6;261;2,2;97,8;72;83;48;11;25;22;;;;;;;;;;;;;;;;;;;;;;27,6;31,8;18,4;4,2;9,6;8,4;;;;;;;;;;;;;;;;;;;;;;7;260;2,6;97,4;69;60;60;13;15;26;1;9;0;2;0;0;0;0;0;1;0;0;0;0;1;2;1;;;;;26,5;23,1;23,1;5,0;5,8;10,0;0,4;3,5;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,4;0,8;0,4;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700600;"Erbach, Kreisstadt";"SB";00012;"Haisterbach";328;279;49;0;191;0;;;8;183;4,2;95,8;75;37;16;14;28;13;;;;;;;;;;;;;;;;;;;;;;41,0;20,2;8,7;7,7;15,3;7,1;;;;;;;;;;;;;;;;;;;;;;7;184;3,7;96,3;74;35;14;12;23;15;0;1;0;2;0;0;0;0;1;0;1;0;0;0;1;5;0;;;;;40,2;19,0;7,6;6,5;12,5;8,2;0,0;0,5;0,0;1,1;0,0;0,0;0,0;0,0;0,5;0,0;0,5;0,0;0,0;0,0;0,5;2,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700600;"Erbach, Kreisstadt";"SB";00013;"Bullau";305;273;32;0;172;0;;;4;168;2,3;97,7;59;49;19;9;10;22;;;;;;;;;;;;;;;;;;;;;;35,1;29,2;11,3;5,4;6,0;13,1;;;;;;;;;;;;;;;;;;;;;;5;167;2,9;97,1;52;49;20;8;9;23;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;;;;;31,1;29,3;12,0;4,8;5,4;13,8;0,6;0,6;1,2;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700600;"Erbach, Kreisstadt";"SB";00014;"Lauerbach";270;225;45;0;137;0;;;5;132;3,6;96,4;32;48;12;4;17;19;;;;;;;;;;;;;;;;;;;;;;24,2;36,4;9,1;3,0;12,9;14,4;;;;;;;;;;;;;;;;;;;;;;9;128;6,6;93,4;33;31;15;4;14;23;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;;;;;25,8;24,2;11,7;3,1;10,9;18,0;2,3;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,1;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700600;"Erbach, Kreisstadt";"SB";00015;"Dorf-Erbach";1213;1057;156;0;495;3;;;12;483;2,4;97,6;152;101;63;34;44;89;;;;;;;;;;;;;;;;;;;;;;31,5;20,9;13,0;7,0;9,1;18,4;;;;;;;;;;;;;;;;;;;;;;15;480;3,0;97,0;138;85;66;35;38;97;3;7;0;4;0;0;0;0;0;0;0;0;0;0;0;5;2;;;;;28,8;17,7;13,8;7,3;7,9;20,2;0,6;1,5;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,4;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700600;"Erbach, Kreisstadt";"SB";90016;"Briefwahlvorstand";0;0;0;0;1671;1671;;;36;1635;2,2;97,8;518;430;254;80;177;176;;;;;;;;;;;;;;;;;;;;;;31,7;26,3;15,5;4,9;10,8;10,8;;;;;;;;;;;;;;;;;;;;;;28;1643;1,7;98,3;526;365;260;93;155;184;6;21;1;6;3;0;0;0;0;1;0;0;0;0;1;21;0;;;;;32,0;22,2;15,8;5,7;9,4;11,2;0,4;1,3;0,1;0,4;0,2;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,1;1,3;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700700;"Fränkisch-Crumbach";"SB";00001;"Fränkisch-Crumbach I";1262;967;295;0;629;0;;;21;608;3,3;96,7;219;157;82;29;50;71;;;;;;;;;;;;;;;;;;;;;;36,0;25,8;13,5;4,8;8,2;11,7;;;;;;;;;;;;;;;;;;;;;;21;608;3,3;96,7;195;114;103;33;47;71;1;20;1;2;4;2;0;2;0;1;1;0;1;1;0;9;0;;;;;32,1;18,8;16,9;5,4;7,7;11,7;0,2;3,3;0,2;0,3;0,7;0,3;0,0;0,3;0,0;0,2;0,2;0,0;0,2;0,2;0,0;1,5;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700700;"Fränkisch-Crumbach";"SB";00002;"Fränkisch-Crumbach II";1325;990;335;0;628;0;;;18;610;2,9;97,1;206;139;88;40;49;88;;;;;;;;;;;;;;;;;;;;;;33,8;22,8;14,4;6,6;8,0;14,4;;;;;;;;;;;;;;;;;;;;;;15;613;2,4;97,6;179;118;96;40;43;94;2;17;3;5;2;2;0;0;0;0;0;0;0;1;0;11;0;;;;;29,2;19,2;15,7;6,5;7,0;15,3;0,3;2,8;0,5;0,8;0,3;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;1,8;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700700;"Fränkisch-Crumbach";"SB";90003;"Briefwahlvorstand";0;0;0;0;588;588;;;14;574;2,4;97,6;155;197;63;22;60;77;;;;;;;;;;;;;;;;;;;;;;27,0;34,3;11,0;3,8;10,5;13,4;;;;;;;;;;;;;;;;;;;;;;5;583;0,9;99,1;134;174;77;22;60;71;2;17;5;2;2;3;0;0;1;2;1;0;0;0;1;9;0;;;;;23,0;29,8;13,2;3,8;10,3;12,2;0,3;2,9;0,9;0,3;0,3;0,5;0,0;0,0;0,2;0,3;0,2;0,0;0,0;0,0;0,2;1,5;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700900;"Höchst im Odenwald";"SB";00001;"Höchst i. Odw. 1";1789;1447;342;0;821;0;;;28;793;3,4;96,6;181;218;126;64;42;162;;;;;;;;;;;;;;;;;;;;;;22,8;27,5;15,9;8,1;5,3;20,4;;;;;;;;;;;;;;;;;;;;;;24;797;2,9;97,1;172;165;127;70;45;163;3;15;4;4;1;2;0;6;1;2;0;1;0;1;1;13;1;;;;;21,6;20,7;15,9;8,8;5,6;20,5;0,4;1,9;0,5;0,5;0,1;0,3;0,0;0,8;0,1;0,3;0,0;0,1;0,0;0,1;0,1;1,6;0,1;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700900;"Höchst im Odenwald";"SB";00002;"Höchst i. Odw. 2";1682;1357;325;0;752;0;;;33;719;4,4;95,6;164;190;107;62;62;134;;;;;;;;;;;;;;;;;;;;;;22,8;26,4;14,9;8,6;8,6;18,6;;;;;;;;;;;;;;;;;;;;;;25;727;3,3;96,7;152;144;106;74;57;145;1;16;2;10;0;3;0;1;0;1;0;0;0;1;0;13;1;;;;;20,9;19,8;14,6;10,2;7,8;19,9;0,1;2,2;0,3;1,4;0,0;0,4;0,0;0,1;0,0;0,1;0,0;0,0;0,0;0,1;0,0;1,8;0,1;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700900;"Höchst im Odenwald";"SB";00005;"Annelsbach";148;113;35;0;82;0;;;3;79;3,7;96,3;31;8;16;2;9;13;;;;;;;;;;;;;;;;;;;;;;39,2;10,1;20,3;2,5;11,4;16,5;;;;;;;;;;;;;;;;;;;;;;5;77;6,1;93,9;28;7;17;5;5;10;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;36,4;9,1;22,1;6,5;6,5;13,0;1,3;3,9;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700900;"Höchst im Odenwald";"SB";00008;"Hassenroth";843;701;142;0;461;0;;;11;450;2,4;97,6;125;106;71;31;55;62;;;;;;;;;;;;;;;;;;;;;;27,8;23,6;15,8;6,9;12,2;13,8;;;;;;;;;;;;;;;;;;;;;;10;451;2,2;97,8;109;95;66;32;55;62;0;10;1;2;1;2;0;0;0;0;0;0;0;0;2;13;1;;;;;24,2;21,1;14,6;7,1;12,2;13,7;0,0;2,2;0,2;0,4;0,2;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;2,9;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700900;"Höchst im Odenwald";"SB";00009;"Hetschbach";584;446;138;0;303;0;;;10;293;3,3;96,7;89;76;48;14;15;51;;;;;;;;;;;;;;;;;;;;;;30,4;25,9;16,4;4,8;5,1;17,4;;;;;;;;;;;;;;;;;;;;;;12;291;4,0;96,0;83;56;55;14;7;54;1;14;0;0;1;1;0;0;1;0;0;0;0;0;1;3;0;;;;;28,5;19,2;18,9;4,8;2,4;18,6;0,3;4,8;0,0;0,0;0,3;0,3;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,3;1,0;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700900;"Höchst im Odenwald";"SB";00010;"Hummetroth";386;326;60;0;207;0;;;9;198;4,3;95,7;48;69;21;20;11;29;;;;;;;;;;;;;;;;;;;;;;24,2;34,8;10,6;10,1;5,6;14,6;;;;;;;;;;;;;;;;;;;;;;7;200;3,4;96,6;46;55;22;22;12;31;1;4;0;1;0;1;0;0;0;1;0;0;0;0;1;2;1;;;;;23,0;27,5;11,0;11,0;6,0;15,5;0,5;2,0;0,0;0,5;0,0;0,5;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,5;1,0;0,5;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700900;"Höchst im Odenwald";"SB";00011;"Mümling-Grumbach";923;780;143;0;470;1;;;16;454;3,4;96,6;131;141;52;29;16;85;;;;;;;;;;;;;;;;;;;;;;28,9;31,1;11,5;6,4;3,5;18,7;;;;;;;;;;;;;;;;;;;;;;13;457;2,8;97,2;119;110;54;38;24;81;0;15;3;1;1;0;0;1;0;0;1;1;0;1;1;6;0;;;;;26,0;24,1;11,8;8,3;5,3;17,7;0,0;3,3;0,7;0,2;0,2;0,0;0,0;0,2;0,0;0,0;0,2;0,2;0,0;0,2;0,2;1,3;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700900;"Höchst im Odenwald";"SB";00012;"Pfirschbach";209;186;23;0;138;0;;;3;135;2,2;97,8;46;43;18;11;6;11;;;;;;;;;;;;;;;;;;;;;;34,1;31,9;13,3;8,1;4,4;8,1;;;;;;;;;;;;;;;;;;;;;;6;132;4,3;95,7;41;36;18;13;10;9;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;31,1;27,3;13,6;9,8;7,6;6,8;0,0;2,3;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343700900;"Höchst im Odenwald";"SB";90013;"Briefwahlvorstand";0;0;0;0;1143;1143;;;21;1122;1,8;98,2;316;343;153;66;100;144;;;;;;;;;;;;;;;;;;;;;;28,2;30,6;13,6;5,9;8,9;12,8;;;;;;;;;;;;;;;;;;;;;;7;1136;0,6;99,4;322;271;161;67;94;148;7;24;0;4;1;2;4;0;0;3;1;1;0;0;24;2;0;;;;;28,3;23,9;14,2;5,9;8,3;13,0;0,6;2,1;0,0;0,4;0,1;0,2;0,4;0,0;0,0;0,3;0,1;0,1;0,0;0,0;2,1;0,2;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701000;"Lützelbach";"SB";00001;"Lützel-Wiebelsbach 1";879;733;146;0;390;1;;;9;381;2,3;97,7;123;110;63;20;19;46;;;;;;;;;;;;;;;;;;;;;;32,3;28,9;16,5;5,2;5,0;12,1;;;;;;;;;;;;;;;;;;;;;;13;377;3,3;96,7;120;98;67;19;16;46;0;4;1;0;1;1;0;2;0;0;0;0;0;0;0;2;0;;;;;31,8;26,0;17,8;5,0;4,2;12,2;0,0;1,1;0,3;0,0;0,3;0,3;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701000;"Lützelbach";"SB";00002;"Lützel-Wiebelsbach 2";998;841;157;0;438;0;;;14;424;3,2;96,8;140;106;62;17;20;79;;;;;;;;;;;;;;;;;;;;;;33,0;25,0;14,6;4,0;4,7;18,6;;;;;;;;;;;;;;;;;;;;;;13;425;3,0;97,0;120;87;72;20;16;83;0;9;3;2;1;2;0;0;0;1;0;0;1;2;0;5;1;;;;;28,2;20,5;16,9;4,7;3,8;19,5;0,0;2,1;0,7;0,5;0,2;0,5;0,0;0,0;0,0;0,2;0,0;0,0;0,2;0,5;0,0;1,2;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701000;"Lützelbach";"SB";00003;"Seckmauern 3";618;466;152;0;295;0;;;11;284;3,7;96,3;110;66;51;8;26;23;;;;;;;;;;;;;;;;;;;;;;38,7;23,2;18,0;2,8;9,2;8,1;;;;;;;;;;;;;;;;;;;;;;10;285;3,4;96,6;104;46;54;10;19;25;1;15;0;1;1;1;0;1;1;0;0;0;1;0;1;3;1;;;;;36,5;16,1;18,9;3,5;6,7;8,8;0,4;5,3;0,0;0,4;0,4;0,4;0,0;0,4;0,4;0,0;0,0;0,0;0,4;0,0;0,4;1,1;0,4;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701000;"Lützelbach";"SB";00004;"Seckmauern 4";609;465;144;0;265;0;;;11;254;4,2;95,8;57;68;56;14;19;40;;;;;;;;;;;;;;;;;;;;;;22,4;26,8;22,0;5,5;7,5;15,7;;;;;;;;;;;;;;;;;;;;;;12;253;4,5;95,5;47;56;58;10;17;40;1;17;0;2;0;1;0;0;0;0;0;0;0;0;0;3;1;;;;;18,6;22,1;22,9;4,0;6,7;15,8;0,4;6,7;0,0;0,8;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;0,4;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701000;"Lützelbach";"SB";00005;"Haingrund";748;576;172;0;361;2;;;14;347;3,9;96,1;91;95;51;19;27;64;;;;;;;;;;;;;;;;;;;;;;26,2;27,4;14,7;5,5;7,8;18,4;;;;;;;;;;;;;;;;;;;;;;16;345;4,4;95,6;80;81;56;18;17;63;2;17;4;0;1;0;1;0;1;0;0;0;0;1;0;3;0;;;;;23,2;23,5;16,2;5,2;4,9;18,3;0,6;4,9;1,2;0,0;0,3;0,0;0,3;0,0;0,3;0,0;0,0;0,0;0,0;0,3;0,0;0,9;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701000;"Lützelbach";"SB";00006;"Breitenbrunn";579;507;72;0;298;0;;;11;287;3,7;96,3;85;85;35;19;22;41;;;;;;;;;;;;;;;;;;;;;;29,6;29,6;12,2;6,6;7,7;14,3;;;;;;;;;;;;;;;;;;;;;;11;287;3,7;96,3;69;63;44;19;22;44;0;12;2;2;0;1;0;0;1;0;0;0;0;0;1;7;0;;;;;24,0;22,0;15,3;6,6;7,7;15,3;0,0;4,2;0,7;0,7;0,0;0,3;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,3;2,4;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701000;"Lützelbach";"SB";00007;"Rimhorn";667;566;101;0;360;0;;;16;344;4,4;95,6;86;112;63;15;23;45;;;;;;;;;;;;;;;;;;;;;;25,0;32,6;18,3;4,4;6,7;13,1;;;;;;;;;;;;;;;;;;;;;;14;346;3,9;96,1;82;87;66;18;20;46;2;15;0;0;0;3;0;0;2;0;1;0;0;0;1;3;0;;;;;23,7;25,1;19,1;5,2;5,8;13,3;0,6;4,3;0,0;0,0;0,0;0,9;0,0;0,0;0,6;0,0;0,3;0,0;0,0;0,0;0,3;0,9;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701000;"Lützelbach";"SB";90008;"Briefwahlvorstand Lützelbach";0;0;0;0;890;890;;;20;870;2,2;97,8;275;250;163;37;70;75;;;;;;;;;;;;;;;;;;;;;;31,6;28,7;18,7;4,3;8,0;8,6;;;;;;;;;;;;;;;;;;;;;;12;878;1,3;98,7;262;199;165;36;64;82;1;45;2;5;0;2;0;0;0;3;1;1;1;0;1;6;2;;;;;29,8;22,7;18,8;4,1;7,3;9,3;0,1;5,1;0,2;0,6;0,0;0,2;0,0;0,0;0,0;0,3;0,1;0,1;0,1;0,0;0,1;0,7;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701100;"Michelstadt, Stadt";"SB";00001;"Michelstadt";904;683;221;0;395;0;;;7;388;1,8;98,2;106;83;80;32;50;37;;;;;;;;;;;;;;;;;;;;;;27,3;21,4;20,6;8,2;12,9;9,5;;;;;;;;;;;;;;;;;;;;;;11;384;2,8;97,2;97;68;74;41;47;38;2;6;0;2;0;0;0;0;1;1;0;1;0;1;0;5;0;;;;;25,3;17,7;19,3;10,7;12,2;9,9;0,5;1,6;0,0;0,5;0,0;0,0;0,0;0,0;0,3;0,3;0,0;0,3;0,0;0,3;0,0;1,3;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701100;"Michelstadt, Stadt";"SB";00002;"Michelstadt";732;538;194;0;323;2;;;9;314;2,8;97,2;87;89;48;15;43;32;;;;;;;;;;;;;;;;;;;;;;27,7;28,3;15,3;4,8;13,7;10,2;;;;;;;;;;;;;;;;;;;;;;10;313;3,1;96,9;88;75;54;21;30;32;0;2;1;1;0;1;0;0;1;0;1;1;0;0;1;4;0;;;;;28,1;24,0;17,3;6,7;9,6;10,2;0,0;0,6;0,3;0,3;0,0;0,3;0,0;0,0;0,3;0,0;0,3;0,3;0,0;0,0;0,3;1,3;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701100;"Michelstadt, Stadt";"SB";00003;"Michelstadt";764;589;175;0;324;0;;;25;299;7,7;92,3;69;87;46;25;35;37;;;;;;;;;;;;;;;;;;;;;;23,1;29,1;15,4;8,4;11,7;12,4;;;;;;;;;;;;;;;;;;;;;;16;308;4,9;95,1;63;72;47;38;28;38;1;6;1;3;1;0;0;1;0;0;0;0;1;1;2;4;1;;;;;20,5;23,4;15,3;12,3;9,1;12,3;0,3;1,9;0,3;1,0;0,3;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,3;0,3;0,6;1,3;0,3;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701100;"Michelstadt, Stadt";"SB";00004;"Michelstadt";695;547;148;0;326;2;;;7;319;2,1;97,9;74;73;73;29;42;28;;;;;;;;;;;;;;;;;;;;;;23,2;22,9;22,9;9,1;13,2;8,8;;;;;;;;;;;;;;;;;;;;;;10;316;3,1;96,9;65;58;65;33;40;35;5;2;1;5;0;0;1;0;1;1;0;0;0;0;0;3;1;;;;;20,6;18,4;20,6;10,4;12,7;11,1;1,6;0,6;0,3;1,6;0,0;0,0;0,3;0,0;0,3;0,3;0,0;0,0;0,0;0,0;0,0;0,9;0,3;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701100;"Michelstadt, Stadt";"SB";00005;"Michelstadt";1196;973;223;0;572;0;;;17;555;3,0;97,0;170;106;113;38;68;60;;;;;;;;;;;;;;;;;;;;;;30,6;19,1;20,4;6,8;12,3;10,8;;;;;;;;;;;;;;;;;;;;;;11;561;1,9;98,1;152;82;123;45;57;70;1;15;1;3;2;0;0;2;0;2;0;0;1;0;1;4;0;;;;;27,1;14,6;21,9;8,0;10,2;12,5;0,2;2,7;0,2;0,5;0,4;0,0;0,0;0,4;0,0;0,4;0,0;0,0;0,2;0,0;0,2;0,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701100;"Michelstadt, Stadt";"SB";00006;"Michelstadt";706;588;118;0;290;0;;;10;280;3,4;96,6;55;87;48;34;27;29;;;;;;;;;;;;;;;;;;;;;;19,6;31,1;17,1;12,1;9,6;10,4;;;;;;;;;;;;;;;;;;;;;;13;277;4,5;95,5;54;73;60;31;14;32;1;2;0;3;0;0;0;0;0;1;0;0;1;0;0;5;0;;;;;19,5;26,4;21,7;11,2;5,1;11,6;0,4;0,7;0,0;1,1;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,4;0,0;0,0;1,8;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701100;"Michelstadt, Stadt";"SB";00007;"Michelstadt";439;395;44;0;172;0;;;9;163;5,2;94,8;30;43;21;20;28;21;;;;;;;;;;;;;;;;;;;;;;18,4;26,4;12,9;12,3;17,2;12,9;;;;;;;;;;;;;;;;;;;;;;7;165;4,1;95,9;21;37;30;22;23;24;0;2;0;1;0;0;0;1;0;0;0;0;0;1;0;3;0;;;;;12,7;22,4;18,2;13,3;13,9;14,5;0,0;1,2;0,0;0,6;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,6;0,0;1,8;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701100;"Michelstadt, Stadt";"SB";00008;"Michelstadt";521;434;87;0;230;1;;;7;223;3,0;97,0;42;77;35;14;24;31;;;;;;;;;;;;;;;;;;;;;;18,8;34,5;15,7;6,3;10,8;13,9;;;;;;;;;;;;;;;;;;;;;;9;221;3,9;96,1;41;61;41;16;17;35;0;3;0;2;0;0;0;1;0;0;0;0;0;0;1;2;1;;;;;18,6;27,6;18,6;7,2;7,7;15,8;0,0;1,4;0,0;0,9;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,9;0,5;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
05343701100;"Michelstadt, Stadt";"SB";00009;"Stockheim";994;823;171;0;447;0;;;10;437;2,2;97,8;150;106;66;21;32;62;;;;;;;;;;;;;;;;;;;;;;34,3;24,3;15,1;4,8;7,3;14,2;;;;;;;;;;;;;;;;;;;;;;13;434;2,9;97,1;122;90;67;34;34;64;0;9;0;1;0;0;0;1;6;0;0;2;0;1;0;3;0;;;;;28,1;20,7;15,4;7,8;7,8;14,7;0,0;2,1;0,0;0,2;0,0;0,0;0,0;0,2;1,4;0,0;0,0;0,5;0,0;0,2;0,0;0,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
